ID_Ingredient,Ingredient,Quantity,Weigh
SEA17,Tôm tươi,2 Con,0.4
SEA12,Mực ống,2 Con,0.4
RIC07,Đậu hũ trắng,100 Gr,0.05
VEG30,Hành tây,1 Củ,0.04
VEG11,Cà chua,1 Trái,0.04
VEG54,Nấm hương,50 Gr,0.03
VEG56,Nấm linh chi nâu,50 Gr,0.03
VEG82,Sả,50 Gr,0.001
VEG20,Củ riềng,30 Gr,0.001
VEG64,Ớt,3 Trái,0.002
VEG44,Lá chanh,10 Lá,0.002
WAT04,Nước cốt dừa,300 ml,0.002
WAT03,Nước cốt chanh,30 ml,0.002
SPI29,Hạt nêm Maggi,40 Gr,0.0
SPI41,Nước tương Maggi,20 ml,0.0
SPI22,Đường trắng,80 Gr,0.0
SPI35,Nước mắm,60 ml,0.0
VEG70,Ớt sa tế,10 Gr,0.0
SPI10,Dầu ăn,2 Muỗng canh,0.0
