ID_Ingredient,Ingredient,Quantity,Weigh
SEA04,Cá chẽm phi lê,400 Gr,0.5
VEG90,Xoài chín,2 Quả,0.2
EGG03,Trứng vịt,2 Quả,0.075
VEG65,Ớt chuông,3 Trái,0.015
VEG18,Cần tây,30 Gr,0.015
VEG62,Ngò rí,10 Gr,0.015
VEG33,Hạt điều,100 Gr,0.015
VEG32,Hành tím băm,100 Gr,0.015
SPI48,Tiêu sọ,1 Muỗng cà phê,0.015
VEG34,Hạt nêm,1 Muỗng cà phê,0.015
SPI10,Dầu ăn,200 ml,0.015
SPI16,Dầu hạt cải,30 ml,0.015
SPI26,Giấm gạo,50 ml,0.015
SPI22,Đường trắng,100 Gr,0.015
SPI35,Nước mắm,30 ml,0.015
VEG19,Chanh,1 Trái,0.015
VEG17,Cần tàu,10 Gr,0.015
SPI03,Bột chiên giòn,1 Gói,0.015
