No.,ID,Name,Link
1,CH01,Cá Diêu Hồng Chiên Sốt Mắm Tỏi,https://www.cooky.vn/cong-thuc/ca-dieu-hong-chien-sot-mam-toi-37312 
2,CH02,Cá Diêu Hồng Chiên Muối Tỏi,https://www.cooky.vn/cong-thuc/ca-dieu-hong-chien-muoi-toi-536 
3,CH03,Cá Diêu Hồng Sốt Cà,https://www.cooky.vn/cong-thuc/ca-dieu-hong-sot-ca-16372 
4,CH04,Cá Diêu Hồng Chiên Mắm Me,https://www.cooky.vn/cong-thuc/ca-dieu-hong-chien-mam-me-33448 
5,CH05,Cá Chiên Sốt Chua Ngọt,https://www.cooky.vn/cong-thuc/ca-chien-sot-chua-ngot-cooky-47089 
6,CH06,Cá Chẽm Sốt Xoài,https://www.cooky.vn/cong-thuc/ca-chem-sot-xoai-18729 
7,CH07,Cá Chẽm Chiên Giòn Cay,https://www.cooky.vn/cong-thuc/ca-chem-chien-gion-cay-36730 
8,CH08,Cá Chẽm Chiên Giòn Sốt Mắm Me,https://www.cooky.vn/cong-thuc/ca-chem-chien-gion-sot-mam-me-37323 
9,CH09,Cá Hồi Chiên Xù Sốt Ngò Thì Là,https://www.cooky.vn/cong-thuc/ca-hoi-chien-xu-sot-ngo-thi-la-32679 
10,CH10,Cá Hồi Áp Chảo,https://www.cooky.vn/cong-thuc/ca-hoi-ap-chao-32595 
11,Ch11,Cá Hồi Áp Chảo Cay,https://www.cooky.vn/cong-thuc/ca-hoi-ap-chao-cay-37038 
12,CH12,Ba Chỉ Xiên Que Chiên Giòn,https://www.cooky.vn/cong-thuc/ba-chi-xien-que-chien-gion-45800 
13,CH13,Thịt Ba Chỉ Chiên Sốt Nước Mắm Chua Ngọt,https://www.cooky.vn/cong-thuc/thit-ba-chi-chien-sot-nuoc-mam-chua-ngot-44062 
14,CH14,Ba Chỉ Chiên Trộn Nước Mắm Kiểu Thái,https://www.cooky.vn/cong-thuc/ba-chi-chien-tron-nuoc-mam-kieu-thai-22858
15,CH15,Sườn Heo Chiên Mềm,https://www.cooky.vn/cong-thuc/suon-heo-chien-mem-13906
16,CH16,Sườn Chiên Nước Mắm,https://www.cooky.vn/cong-thuc/suon-chien-nuoc-mam-49784 
17,CH17,Sườn Chiên Ớt Sả,https://www.cooky.vn/cong-thuc/suon-chien-ot-sa-219 
18,CH18,Sườn Cây Chiên Mắm,https://www.cooky.vn/cong-thuc/suon-cay-chien-mam-50271 
19,CH19,Đuôi Heo Chiên Giòn Sốt Mắm Tắc,https://www.cooky.vn/cong-thuc/duoi-heo-chien-gion-sot-mam-tac-43507 
20,CH20,Lòng Heo Chiên Sả Ớt,https://www.cooky.vn/cong-thuc/long-heo-chien-sa-ot-52764 
21,CH21,Lòng Non Chiên Nước Mắm Ớt,https://www.cooky.vn/cong-thuc/long-non-chien-nuoc-mam-ot-30171 
22,CH22,Gà Viên Sốt Cà Chua,https://www.cooky.vn/cong-thuc/ga-vien-sot-ca-chua-cooky-52501 
23,CH23,Cánh Gà Chiên Nước Mắm,https://www.cooky.vn/cong-thuc/canh-ga-chien-nuoc-mam-9830 
24,CH24,Gà Chiên Sả Lá Chanh,https://www.cooky.vn/cong-thuc/ga-chien-sa-la-chanh-52310 
25,CH25,Cánh Gà Chiên Nước Mắm,https://www.cooky.vn/cong-thuc/canh-ga-chien-nuoc-mam-barona-50733 
26,CH26,Gà Chiên Mắm Tỏi,https://www.cooky.vn/cong-thuc/ga-chien-mam-toi-50293 
