ID_Ingredient,Ingredient,Quantity,Weigh
MEA11,Thịt bò,600 Gr,0.5
VEG13,Cà rốt,300 Gr,0.2
SPI34,Muối,2 Muỗng cà phê,0
VEG34,Hạt nêm,1 Muỗng cà phê,0
SPI22,Đường trắng,1 Muỗng cà phê,0
SPI11,Dầu điều,3 Muỗng cà phê,0
RIC04,Bột năng,3 Muỗng cà phê,0
SPI47,Tiêu,1/2 Muỗng cà phê,0.05
VEG82,Sả,3 Cây,0.05
VEG26,Gừng băm,1 Muỗng cà phê,0.05
SPI52,Tỏi băm,1 Muỗng cà phê,0.05
VEG32,Hành tím băm,1 Muỗng cà phê,0.025
VEG41,Húng quế,5 Gr,0.025
VEG39,Hoa quế,5 Gr,0.025
VEG38,Hoa hồi,1 Cái,0.025
SPI23,Gia vị bò kho,1 Muỗng cà phê,0
WAT11,Rượu trắng,100 ml,0
