ID,Name,Image,Refrigerated,Frozen
VEG01,Bạc hà,https://duockienminh.vn/sites/default/files/2021-06/doc-mung-la-gi.jpg,5,-1
SEA01,Bạch tuộc,https://cdn-www.vinid.net/b64f88e9-bach-tuoc-xao-1.jpg,3,14
RIC01,Bánh mì,http://nhulan.vn/thumbs_size/product/2021_07/banhmikhong_jpg/1000x800_zmax_banhmikhong.jpg,1,-1
MEA01,Bắp bò,https://famfood.vn/upload/img/products/21012021/thumbnail_2_bap-bo-famfood.jpg,4,60
VEG02,Bắp cải,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG03,Bắp chuối,https://thucphamdongxanh.com/wp-content/uploads/2019/07/bap-chuoi-su.jpg,4,-1
VEG04,Bắp non,http://hupfood.com/wp-content/uploads/2021/07/bap-non-djong-lanh-1kg.jpg,5,-1
VEG05,Bầu,https://vtv1.mediacdn.vn/thumb_w/800/2019/1/5/qua-bau-1546662842168895562689-crop-1546662853759850775344.jpeg,4,-1
VEG06,Bí đao,https://meetfresh.vn/wp-content/uploads/2016/08/1-bi-dao-thanh-loc-co-the-1414204308582-1422932336370-0-27-407-581-crop-1422934480195.jpg,4,-1
SPI01,Bơ,https://toinayangi.vn/wp-content/uploads/2015/05/t%C3%A1c-d%E1%BB%A5ng-c%E1%BB%A7a-qu%E1%BA%A3-b%C6%A1.jpg,60,180
VEG07,Bông cải xanh,https://csfood.vn/wp-content/uploads/2018/04/B%C3%B4ng-c%E1%BA%A3i-xanh.png,3,-1
VEG08,Bông điên điển,https://cdn.tgdd.vn/Products/Images/8820/223340/bhx/bong-dien-dien-vi-200g-202105271108537619.jpg,3,-1
VEG09,Bông so đũa,https://cdn.tgdd.vn/Products/Images/8820/223364/bhx/bong-so-dua-tui-200g-202011071630565407.jpg,3,-1
VEG10,Bông súng,https://thucphamdongxanh.com/wp-content/uploads/2019/07/bong-sung.jpg,3,-1
RIC02,Bột bắp,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
