ID,Name,Image,Refrigerated,Frozen
VEG01,Bạc hà,,5,-1
SEA01,Bạch tuộc,,3,14
RIC01,Bánh mì,,1,-1
MEA01,Bắp bò,,4,60
VEG02,Bắp cải,,3,-1
VEG03,Bắp chuối,,4,-1
VEG04,Bắp non,,5,-1
VEG05,Bầu,,4,-1
VEG06,Bí đao,,4,-1
SPI01,Bơ,,60,180
VEG07,Bông cải xanh,,3,-1
VEG08,Bông điên điển,,3,-1
VEG09,Bông so đũa,,3,-1
VEG10,Bông súng,,3,-1
RIC02,Bột bắp,,-1,-1
SPI02,Bột canh,,-1,-1
SPI03,Bột chiên giòn,,-1,-1
SPI04,Bột chiên xù,,-1,-1
RIC03,Bột mì,,-1,-1
RIC04,Bột năng,,-1,-1
SPI05,Bột ngọt,,-1,-1
SPI06,Bột ngũ vị hương,,-1,-1
SPI07,Bột ớt paprika,,-1,-1
SPI08,Bột tỏi,,-1,-1
SEA02,Cá bông lau,,3,60
SEA03,Cá chẽm,,3,60
SEA04,Cá chẽm phi lê,,3,60
SEA05,Cá chép,,3,60
VEG11,Cà chua,,4,-1
VEG12,Cà chua bi,,4,-1
SEA06,Cá diêu hồng,,3,60
SEA07,Cá hồi,,3,60
SEA08,Cá kèo,,3,60
SEA09,Cá lóc,,3,60
VEG13,Cà rốt,,6,-1
SEA10,Cá thu,,3,60
VEG14,Cải bó xôi,,5,-1
VEG15,Cải ngọt,,5,-1
VEG16,Cải thìa,,5,-1
VEG17,Cần tàu,,5,-1
VEG18,Cần tây,,5,-1
MEA02,Cánh gà,,3,60
VEG19,Chanh,,5,-1
SPI09,Chao,,4,-1
WAT01,Coca Cola,,3,-1
VEG20,Củ riềng,,7,-1
VEG21,Củ sen,,7,-1
SEA11,Cua đồng,,3,60
MEA03,Da heo,,3,60
SPI10,Dầu ăn,,4,60
VEG22,Đậu bắp,,-1,-1
SPI11,Dầu điều,,-1,-1
SPI12,Dầu dừa,,-1,-1
VEG23,Đầu hành,,4,-1
SPI13,Dầu hào,,-1,-1
SPI14,Dầu hào Maggi,,-1,-1
SPI15,Dầu hào tỏi ớt CHIN-SU,,-1,-1
SPI16,Dầu hạt cải,,-1,-1
RIC05,Đậu hủ chiên,,3,-1
RIC06,Đậu hũ non,,3,-1
RIC07,Đậu hũ trắng,,3,-1
SPI17,Dầu mè,,3,-1
SPI18,Dầu olive,,-1,-1
VEG24,Đậu rồng,,4,-1
VEG25,Dưa cải chua,,5,-1
VEG26,Dưa leo,,5,-1
MEA04,Đùi gà,,3,60
MEA05,Đuôi heo,,3,60
SPI19,Đường,,-1,-1
SPI20,Đường nâu,,-1,-1
SPI21,Đường thốt nốt,,-1,-1
SPI22,Đường trắng,,-1,-1
VEG24,Giá đỗ,,2,-1
SPI23,Gia vị bò kho,,-1,-1
SPI24,Giấm,,-1,-1
SPI25,Giấm đen,,-1,-1
SPI26,Giấm gạo,,-1,-1
VEG25,Gừng,,14,-1
VEG26,Gừng băm,,7,-1
VEG27,Hành boa rô,,3,-1
VEG28,Hành lá,,3,-1
VEG29,Hành lá băm,,4,-1
VEG30,Hành tây,,5,-1
VEG31,Hành tím,,-1,-1
VEG32,Hành tím băm,,4,-1
VEG33,Hạt điều,,-1,-1
VEG34,Hạt nêm,,-1,-1
SPI27,Hạt nêm chay,,-1,-1
SPI28,Hạt nêm CHIN-SU,,-1,-1
SPI29,Hạt nêm Maggi,,-1,-1
VEG35,Hạt sen tươi,,7,-1
VEG36,Hạt tiêu,,-1,-1
VEG37,Hẹ,,4,-1
VEG38,Hoa hồi,,4,-1
VEG39,Hoa quế,,4,-1
VEG40,Húng lũi,,4,-1
VEG41,Húng quế,,4,-1
VEG42,Khế,,4,-1
VEG43,Khổ qua,,5,-1
VEG44,Lá chanh,,5,-1
VEG45,Lá giang,,4,-1
VEG46,Lá hương thảo,,4,-1
MEA06,Lòng heo,,3,60
SPI30,Mắm ruốc,,-1,-1
SPI31,Mắm tôm,,-1,-1
VEG47,Măng tươi,,7,-1
SPI32,Mật mía,,-1,-1
SPI33,Mật ong,,-1,-1
VEG48,Me,,7,-1
VEG49,Me chua,,7,-1
RIC08,Mì vắt,,-1,-1
MEA07,Mỡ heo,,3,60
SEA12,Mực ống,,3,60
SPI34,Muối,,-1,-1
VEG50,Mướp hương,,5,-1
VEG51,Nấm bào ngư,,5,-1
VEG52,Nấm đông cô,,5,-1
VEG53,Nấm đùi gà,,5,-1
VEG54,Nấm hương,,5,-1
VEG55,Nấm kim châm,,5,-1
VEG56,Nấm Linh Chi,,5,-1
VEG57,Nấm linh chi nâu,,5,-1
VEG58,Nấm linh chi trắng,,5,-1
VEG59,Nấm rơm,,5,-1
SEA13,Ngao,,3,60
SEA14,Nghêu,,3,60
VEG60,Ngò gai,,3,60
VEG61,Ngò om,,3,60
VEG62,Ngò rí,,3,60
VEG63,Ngó sen,,3,-1
WAT02,Nước,,-1,-1
WAT03,Nước cốt chanh,,4,-1
WAT04,Nước cốt dừa,,4,-1
WAT05,Nước cốt me,,4,-1
WAT06,Nước cốt tắc,,4,-1
WAT07,Nước dừa,,4,-1
WAT08,Nước dừa tươi,,4,-1
WAT09,Nước dùng gà,,4,-1
WAT10,Nước lọc,,-1,-1
SPI35,Nước mắm,,-1,-1
SPI36,Nước mắm CHIN-SU,,-1,-1
SPI37,Nước mắm Maggi,,-1,-1
SPI38,Nước mắm Vị Xưa,,-1,-1
SPI39,Nước màu,,-1,-1
SPI40,Nước tương,,-1,-1
SPI41,Nước tương Maggi,,-1,-1
VEG64,Ớt,,5,-1
SPI42,Ớt băm,,5,-1
SPI43,Ớt bột,,5,-1
VEG65,Ớt chuông,,5,-1
VEG66,Ớt chuông đỏ,,5,-1
VEG67,Ớt chuông vàng,,5,-1
VEG68,Ớt chuông xanh,,5,-1
VEG69,Ớt khô,,-1,-1
VEG70,Ớt sa tế,,-1,-1
VEG71,Ớt sừng,,-1,-1
SEA15,Phi lê cá hồi,,3,-1
MEA08,Phi lê gà,,3,-1
VEG72,Rau dền,,4,-1
VEG73,Rau mồng tơi,,4,-1
VEG74,Rau muống,,3,-1
VEG75,Rau ngót,,3,-1
VEG76,Rau nhút,,3,-1
VEG77,Rau răm,,3,-1
VEG78,Rau tần ô (cải cúc),,3,-1
VEG79,Rễ ngò,,3,-1
VEG80,Rong biển,,4,-1
VEG81,Rong biển khô,,14,-1
WAT11,Rượu trắng,,-1,-1
VEG82,Sả,,7,-1
VEG83,Sả băm,,5,-1
