ID,Name,Image,Refrigerated,Frozen
VEG01,Bạc hà,https://duockienminh.vn/sites/default/files/2021-06/doc-mung-la-gi.jpg,5,-1
SEA01,Bạch tuộc,https://cdn-www.vinid.net/b64f88e9-bach-tuoc-xao-1.jpg,3,14
RIC01,Bánh mì,http://nhulan.vn/thumbs_size/product/2021_07/banhmikhong_jpg/1000x800_zmax_banhmikhong.jpg,1,-1
MEA01,Bắp bò,https://famfood.vn/upload/img/products/21012021/thumbnail_2_bap-bo-famfood.jpg,4,60
VEG02,Bắp cải,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG03,Bắp chuối,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG04,Bắp non,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,5,-1
VEG05,Bầu,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
VEG06,Bí đao,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,4,-1
SPI01,Bơ,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,60,180
VEG07,Bông cải xanh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG08,Bông điên điển,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG09,Bông so đũa,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
VEG10,Bông súng,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,3,-1
RIC02,Bột bắp,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI02,Bột canh,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI03,Bột chiên giòn,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
SPI04,Bột chiên xù,https://farm24h.vn/wp-content/uploads/2020/04/BAPCAITRON-510x383.jpg,-1,-1
