ID_Ingredient,Ingredient,Quantity,Weigh
MEA14,Sườn non,500 Gr,0.7
SPI56,Xốt nêm thịt heo Knorr,2 Muỗng canh,0.0
VEG66,Ớt chuông đỏ,100 Gr,0.04
VEG68,Ớt chuông xanh,100 Gr,0.04
VEG86,Thơm,100 Gr,0.04
VEG30,Hành tây,50 Gr,0.04
VEG56,Nấm Linh Chi,50 Gr,0.1
RIC03,Bột mì,100 Gr,0.01
VEG32,Hành tím băm,10 Gr,0.01
SPI52,Tỏi băm,10 Gr,0.01
VEG28,Hành lá,10 Gr,0.01
SPI22,Đường trắng,3 Muỗng canh,0.0
SPI54,Tương cà,3 Muỗng canh,0.0
SPI55,Tương ớt,2 Muỗng canh,0.0
WAT10,Nước lọc,2 Muỗng canh,0.0
SPI24,Giấm,2 Muỗng canh,0.0
WAT02,Nước,150 ml,0.0
